City,Number of Records,division_id,division_name,latitude,longitude,polling_place,polling_place_id,polling_place_name,polling_place_type_id,state,total_formal_votes,tpp_australian_labor_party_percentage,tpp_australian_labor_party_votes,tpp_liberal_national_coalition_percentage,tpp_liberal_national_coalition_votes,tpp_swing
Parkes,1,318,Bean,-35.3019611,149.1299644,Parkes,93928,Parkes (Bean),1,ACT,542,76.01,412,23.99,130,-11.23
Parkes,1,318,Bean,-35.3019611,149.1299644,Parkes,97479,Parkes BEAN PPVC,5,ACT,948,63.08,598,36.92,350,36.92
Griffith,1,101,Canberra,-35.3222,149.145,Griffith,8817,Griffith,1,ACT,1398,62.52,874,37.48,524,-8.4
Parkes,1,101,Canberra,-35.3019611,149.1299644,Parkes,65741,Parkes (Canberra),1,ACT,2438,78.34,1910,21.66,528,-11.06
Parkes,1,101,Canberra,-35.3019611,149.1299644,Parkes,65742,Parkes CANBERRA PPVC,5,ACT,2878,62.23,1791,37.77,1087,-3.08
Parkes,1,102,Fenner,-35.3019611,149.1299644,Parkes,65743,Parkes (Fenner),1,ACT,437,76.43,334,23.57,103,-3.3
Parkes,1,102,Fenner,-35.3019611,149.1299644,Parkes,83858,Parkes FENNER PPVC,5,ACT,989,61.98,613,38.02,376,-2.71
Sydney,1,103,Banks,-33.8730501,151.2064528,Sydney,14011,Sydney (Banks),1,NSW,151,59.6,90,40.4,61,-7.92
Sydney,1,103,Banks,-33.8638565,151.2092587,Sydney,97610,Sydney BANKS PPVC,5,NSW,561,46.7,262,53.3,299,4.19
Sydney,1,104,Barton,-33.8730501,151.2064528,Sydney,14014,Sydney (Barton),1,NSW,282,60.28,170,39.72,112,-2.08
Sydney,1,104,Barton,-33.8638565,151.2092587,Sydney,97609,Sydney BARTON PPVC,5,NSW,685,52.55,360,47.45,325,3.85
Orange,1,109,Calare,-33.2798185,149.0946465,Orange,286,Orange North,1,NSW,1669,39.36,657,60.64,1012,-5.85
Sydney,1,105,Bennelong,-33.8730501,151.2064528,Sydney,14017,Sydney (Bennelong),1,NSW,172,52.91,91,47.09,81,-0.95
Sydney,1,105,Bennelong,-33.8638565,151.2092587,Sydney,97605,Sydney BENNELONG PPVC,5,NSW,682,42.96,293,57.04,389,1.68
Sydney,1,106,Berowra,-33.8730501,151.2064528,Sydney,14020,Sydney (Berowra),1,NSW,105,59.05,62,40.95,43,-8.64
Sydney,1,106,Berowra,-33.8638565,151.2092587,Sydney,97607,Sydney BEROWRA PPVC,5,NSW,460,38.04,175,61.96,285,1.15
Sydney,1,107,Blaxland,-33.8730501,151.2064528,Sydney,32339,Sydney (Blaxland),1,NSW,98,68.37,67,31.63,31,4.9
Sydney,1,107,Blaxland,-33.8638565,151.2092587,Sydney,97619,Sydney BLAXLAND PPVC,5,NSW,345,66.38,229,33.62,116,-4.8
Sydney,1,108,Bradfield,-33.8730501,151.2064528,Sydney,31029,Sydney (Bradfield),1,NSW,168,48.81,82,51.19,86,-8.11
Sydney,1,108,Bradfield,-33.8638565,151.2092587,Sydney,97606,Sydney BRADFIELD PPVC,5,NSW,895,29.72,266,70.28,629,2.56
Bathurst,1,109,Calare,-33.4217,149.571,Bathurst,220,Bathurst,1,NSW,1189,46.85,557,53.15,632,2.76
Bathurst,1,109,Calare,-33.42,149.577,Bathurst,221,Bathurst Central,1,NSW,1087,46.27,503,53.73,584,-1.33
Bathurst,1,109,Calare,-33.4163,149.58,Bathurst,31071,Bathurst City,1,NSW,1677,40.49,679,59.51,998,7.31
Bathurst,1,109,Calare,-33.4129,149.569,Bathurst,223,Bathurst North,1,NSW,683,45.97,314,54.03,369,1.75
Bathurst,1,109,Calare,-33.4152062,149.5788909,Bathurst,33861,Bathurst PPVC,5,NSW,13935,36.48,5084,63.52,8851,3.22
Bathurst,1,109,Calare,-33.4337,149.569,Bathurst,225,Bathurst South,1,NSW,718,51.67,371,48.33,347,0.34
Bathurst,1,109,Calare,-33.4118,149.559,Bathurst,227,Bathurst West,1,NSW,1481,44.97,666,55.03,815,1.93
Dubbo,1,109,Calare,-32.2315018,148.6329645,Dubbo,83546,Dubbo CALARE PPVC,5,NSW,674,27,182,73,492,12.05
Lithgow,1,109,Calare,-33.4818,150.16,Lithgow,262,Lithgow,1,NSW,933,54.88,512,45.12,421,2.31
Lithgow,1,109,Calare,-33.4809335,150.1574085,Lithgow,33864,Lithgow PPVC,5,NSW,5920,40.3,2386,59.7,3534,12.29
Mudgee,1,109,Calare,-32.5914,149.592,Mudgee,276,Mudgee,1,NSW,1062,36.35,386,63.65,676,-2.25
Mudgee,1,109,Calare,-32.5984,149.583,Mudgee,277,Mudgee Central,1,NSW,1067,42.55,454,57.45,613,0.46
Mudgee,1,109,Calare,-32.5901568,149.5887382,Mudgee,33888,Mudgee PPVC,5,NSW,7795,31.44,2451,68.56,5344,-0.29
Mudgee,1,109,Calare,-32.6066,149.584,Mudgee,279,Mudgee South,1,NSW,912,32.24,294,67.76,618,3.66
Orange,1,109,Calare,-33.2854901,149.0968798,Orange,283,Orange,1,NSW,1557,39.63,617,60.37,940,-4.49
Orange,1,109,Calare,-33.2848161,149.1078578,Orange,284,Orange East,1,NSW,1206,46.43,560,53.57,646,-11.02
Orange,1,109,Calare,-33.2583532,149.0726671,Orange,65686,Orange North West,1,NSW,262,26.34,69,73.66,193,-6.77
Orange,1,109,Calare,-33.2879159,149.1018679,Orange,33863,Orange PPVC,5,NSW,12483,32.26,4027,67.74,8456,-3.56
Orange,1,109,Calare,-33.293091,149.0970536,Orange,287,Orange South,1,NSW,1061,36.66,389,63.34,672,-4.62
Orange,1,109,Calare,-33.2809,149.086,Orange,288,Orange West,1,NSW,1940,35.31,685,64.69,1255,-3.37
Portland,1,109,Calare,-33.3551735,149.9792727,Portland,291,Portland,1,NSW,872,41.74,364,58.26,508,15.96
Sydney,1,109,Calare,-33.8730501,151.2064528,Sydney,14036,Sydney (Calare),1,NSW,20,55,11,45,9,16.43
Sydney,1,111,Chifley,-33.8730501,151.2064528,Sydney,14039,Sydney (Chifley),1,NSW,62,62.9,39,37.1,23,15.67
Sydney,1,112,Cook,-33.8730501,151.2064528,Sydney,14040,Sydney (Cook),1,NSW,89,47.19,42,52.81,47,1.51
Emerald,1,113,Cowper,-31.4781,152.915,Emerald,33903,Emerald Downs,1,NSW,1375,26.91,370,73.09,1005,-2.76
Gladstone,1,113,Cowper,-31.0262943,152.9461395,Gladstone,472,Gladstone,1,NSW,586,25.6,150,74.4,436,1.47
Kempsey,1,113,Cowper,-31.0833982,152.8467429,Kempsey,482,Kempsey East,1,NSW,721,34.12,246,65.88,475,1.83
Kempsey,1,113,Cowper,-31.0692762,152.8261994,Kempsey,483,Kempsey Heights,1,NSW,828,40.34,334,59.66,494,0.96
Kempsey,1,113,Cowper,-31.0772723,152.8421126,Kempsey,33678,Kempsey PPVC,5,NSW,7623,32.6,2485,67.4,5138,0.43
Kempsey,1,113,Cowper,-31.094928,152.829606,Kempsey,485,Kempsey South,1,NSW,512,48.63,249,51.37,263,-5.74
Kempsey,1,113,Cowper,-31.0777572,152.829924,Kempsey,486,Kempsey West,1,NSW,673,37.89,255,62.11,418,2.22
Sydney,1,113,Cowper,-33.8730501,151.2064528,Sydney,14041,Sydney (Cowper),1,NSW,23,56.52,13,43.48,10,17.16
Sydney,1,114,Cunningham,-33.8730501,151.2064528,Sydney,14046,Sydney (Cunningham),1,NSW,42,64.29,27,35.71,15,-0.19
Wollongong,1,114,Cunningham,-34.4257176,150.8977103,Wollongong,565,Wollongong,1,NSW,2041,68.74,1403,31.26,638,-5.48
Wollongong,1,114,Cunningham,-34.4260568,150.8995189,Wollongong,34033,Wollongong CUNNINGHAM PPVC,5,NSW,13517,58.03,7844,41.97,5673,0.9
Wollongong,1,114,Cunningham,-34.4225479,150.8962167,Wollongong,83535,Wollongong East,1,NSW,471,67.73,319,32.27,152,-6.14
Wollongong,1,114,Cunningham,-34.4192,150.895,Wollongong,568,Wollongong North,1,NSW,1976,65.94,1303,34.06,673,-5.49
Wollongong,1,114,Cunningham,-34.4296,150.886,Wollongong,566,Wollongong South,1,NSW,1015,73,741,27,274,-3.92
Wollongong,1,114,Cunningham,-34.4298345,150.8617242,Wollongong,551,Wollongong West,1,NSW,1623,60.07,975,39.93,648,-0.6
Sydney,1,115,Dobell,-33.8730501,151.2064528,Sydney,14048,Sydney (Dobell),1,NSW,31,58.06,18,41.94,13,6.38
Queanbeyan,1,117,Eden-Monaro,-35.3571625,149.2355025,Queanbeyan,717,Queanbeyan,1,NSW,1621,60.21,976,39.79,645,4.69
Queanbeyan,1,117,Eden-Monaro,-35.353979,149.235256,Queanbeyan,718,Queanbeyan Central,1,NSW,931,60.79,566,39.21,365,-0.72
Queanbeyan,1,117,Eden-Monaro,-35.3445,149.246,Queanbeyan,719,Queanbeyan East,1,NSW,1796,57.91,1040,42.09,756,-2.79
Queanbeyan,1,117,Eden-Monaro,-35.3527,149.222,Queanbeyan,720,Queanbeyan Heights,1,NSW,993,63.14,627,36.86,366,-1.73
Queanbeyan,1,117,Eden-Monaro,-35.35234,149.23094,Queanbeyan,722,Queanbeyan North,1,NSW,996,60.04,598,39.96,398,3.58
Queanbeyan,1,117,Eden-Monaro,-35.3526312,149.2342423,Queanbeyan,33925,Queanbeyan PPVC,5,NSW,11980,52.78,6323,47.22,5657,2.76
Queanbeyan,1,117,Eden-Monaro,-35.3655795,149.229151,Queanbeyan,723,Queanbeyan South,1,NSW,1537,60.96,937,39.04,600,4.86
Queanbeyan,1,117,Eden-Monaro,-35.3478,149.215,Queanbeyan,724,Queanbeyan West,1,NSW,1361,61.94,843,38.06,518,-0.32
Sydney,1,117,Eden-Monaro,-33.8730501,151.2064528,Sydney,14051,Sydney (Eden-Monaro),1,NSW,10,90,9,10,1,-33.48
Albury,1,118,Farrer,-36.0830081,146.9188145,Albury,746,Albury,1,NSW,1851,43,796,57,1055,-4.25
Albury,1,118,Farrer,-36.0732767,146.9167639,Albury,748,Albury Central,1,NSW,1139,40.39,460,59.61,679,-2.55
Albury,1,118,Farrer,-36.0711246,146.9383558,Albury,747,Albury East,1,NSW,714,38.38,274,61.62,440,-3.23
Albury,1,118,Farrer,-36.0798003,146.9233189,Albury,34273,Albury FARRER PPVC,5,NSW,13273,31.91,4236,68.09,9037,-2.29
Albury,1,118,Farrer,-36.0641,146.932,Albury,751,Albury North,1,NSW,1556,41.2,641,58.8,915,0.21
Albury,1,118,Farrer,-36.0783,146.895,Albury,752,Albury West,1,NSW,1057,36.8,389,63.2,668,-5.16
Echuca,1,118,Farrer,-36.1278663,144.7482858,Echuca,65218,Echuca FARRER PPVC,5,NSW,2165,22.12,479,77.88,1686,-0.75
Griffith,1,118,Farrer,-34.2864,146.041,Griffith,2508,Griffith,1,NSW,1467,30.95,454,69.05,1013,3.99
Griffith,1,118,Farrer,-34.2931498,146.0491823,Griffith,58769,Griffith Central PPVC,5,NSW,226,32.3,73,67.7,153,40.16
Griffith,1,118,Farrer,-34.282,146.07,Griffith,2502,Griffith Driver,1,NSW,1290,29.53,381,70.47,909,1.29
Griffith,1,118,Farrer,-34.2803,146.048,Griffith,2511,Griffith North,1,NSW,1166,27.44,320,72.56,846,2.23
Griffith,1,118,Farrer,-34.286557,146.0413659,Griffith,33855,Griffith PPVC,5,NSW,5419,26.57,1440,73.43,3979,2.78
Griffith,1,118,Farrer,-34.2916,146.041,Griffith,2512,Griffith West,1,NSW,785,36.05,283,63.95,502,8.5
Mildura,1,118,Farrer,-34.1861175,142.1642546,Mildura,65225,Mildura FARRER PPVC,5,NSW,794,21.03,167,78.97,627,-4.1
Moama,1,118,Farrer,-36.114623,144.7623497,Moama,815,Moama,1,NSW,1306,26.03,340,73.97,966,-2.37
Sydney,1,118,Farrer,-33.8730501,151.2064528,Sydney,14055,Sydney (Farrer),1,NSW,8,37.5,3,62.5,5,9.14
Wentworth,1,118,Farrer,-34.103,141.919,Wentworth,849,Wentworth,1,NSW,710,29.44,209,70.56,501,-2.39
Sydney,1,119,Fowler,-33.8730501,151.2064528,Sydney,14058,Sydney (Fowler),1,NSW,75,72,54,28,21,-2.26
Warwick,1,119,Fowler,-33.9106,150.929,Warwick,896,Warwick Farm,1,NSW,1043,74.21,774,25.79,269,0.61
Sydney,1,120,Gilmore,-33.8730501,151.2064528,Sydney,14061,Sydney (Gilmore),1,NSW,29,48.28,14,51.72,15,10.98
Nowra,1,120,Gilmore,-34.9361,150.566,Nowra,952,Nowra Hill,1,NSW,458,50,229,50,229,-4.56
Nowra,1,120,Gilmore,-34.8557,150.577,Nowra,33136,Nowra North,1,NSW,731,52.26,382,47.74,349,-6.71
